userID,fname,lname,gender,email,pswd,dateOfBirth,age
user1,fname1,lname1,Male,user1@gmail.com,password,2022-04-14,23
user2,fname2,lname2,Male,user2@gmail.com,password,2004-06-09,20
user3,fname3,lname3,Male,user3@gmail.com,password,1995-05-09,17
user4,fname4,lname4,Male,user4@gmail.com,password,1995-05-09,23
user5,fname5,lname5,Male,user5@gmail.com,password,1995-05-09,17
user6,fname6,lname6,Male,user6@gmail.com,password,1995-05-09,20
user7,fname7,lname7,Male,user7@gmail.com,password,1995-05-09,16
user8,fname8,lname8,Male,user8@gmail.com,password,2022-04-06,20
user9,fname9,lname9,Male,user9@gmail.com,password,2022-04-01,18
user10,fname10,lname10,Female,user10@gmail.com,password,2022-04-06,22
user11,fname11,lname11,Female,user11@gmail.com,password,2017-06-15,22
user12,fname12,lname12,Female,user12@gmail.com,password,2022-04-06,21
user13,fname13,lname13,Female,user13@gmail.com,password,2017-06-15,15
user14,fname14,lname14,Female,user14@gmail.com,password,2022-04-06,15
user15,fname15,lname15,Female,user15@gmail.com,password,2017-06-15,20
user16,fname16,lname16,Female,user16@gmail.com,password,2017-06-15,18
user17,fname17,lname17,Female,user17@gmail.com,password,2017-06-15,16
user18,fname18,lname18,Female,user18@gmail.com,password,2017-06-15,15
user19,fname19,lname19,Female,user19@gmail.com,password,2017-06-15,17
user20,fname20,lname20,Female,user20@gmail.com,password,2017-06-15,25
user21,fname21,lname21,Female,user21@gmail.com,password,2022-04-06,16
user22,fname22,lname22,Female,user22@gmail.com,password,2022-04-06,19
user23,fname23,lname23,Female,user23@gmail.com,password,2022-04-06,24
